description,final_state,total_flips,total_events
A coin is heads up. Florian does not flip the coin. Pablo does not flip the coin. María does not flip the coin. Haruka does not flip the coin. Indah flips the coin. Manuela flips the coin. Marine flips the coin. Brigitte does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Jose does not flip the coin. Vijay does not flip the coin. Linda flips the coin. Monika flips the coin. Alejandro flips the coin. Lukas does not flip the coin. Liang does not flip the coin. Kaori does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Alex does not flip the coin. Priyanka flips the coin. Neha does not flip the coin. Sunita flips the coin. Vicky does not flip the coin. Fiona flips the coin. Rakesh flips the coin. Megumi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Noriko does not flip the coin. Rani flips the coin. Julia flips the coin. Tom flips the coin. Marcel flips the coin. Yusuke flips the coin. Rosa does not flip the coin. Raj flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Sabrina flips the coin. Francesco flips the coin. Stefanie flips the coin. Crystal does not flip the coin. Steven does not flip the coin. Cathy does not flip the coin. Petra does not flip the coin. Agus flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Fabio does not flip the coin. Karin flips the coin. Victor flips the coin. Susan does not flip the coin. Ben does not flip the coin. Lauren flips the coin. Sandra does not flip the coin. Raj does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Lucy flips the coin. Fernanda flips the coin. Naoko does not flip the coin. Ingrid flips the coin. Joko flips the coin. Philippe flips the coin. James does not flip the coin. Martha flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Cathy does not flip the coin. Ricardo does not flip the coin. Candy flips the coin. Marcia flips the coin. Alexander flips the coin. Akira flips the coin. Martine flips the coin. Richard does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Agus flips the coin. Mario flips the coin. Hannah flips the coin. Monique flips the coin. Sofie does not flip the coin. Gabriela flips the coin. Ayumi does not flip the coin. Linda does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Daisuke does not flip the coin. Yusuke does not flip the coin. Bart flips the coin. Takeshi does not flip the coin. Rajesh does not flip the coin. Helen flips the coin. Indra flips the coin. Lin does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
