description,final_state,total_flips,total_events
A coin is heads up. Martha does not flip the coin. Audrey flips the coin. Ashley does not flip the coin. Marcia does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Yusuke flips the coin. Mike flips the coin. Alex does not flip the coin. Dominique flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Made does not flip the coin. Indra flips the coin. Fernanda flips the coin. Sabine flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Christoph does not flip the coin. Rekha does not flip the coin. Wolfgang does not flip the coin. Riya does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Olivier does not flip the coin. Massimo flips the coin. Sonia does not flip the coin. Carine does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Andreas flips the coin. Giovanni flips the coin. Christine flips the coin. Renate does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Kelly flips the coin. Alessandro flips the coin. Mukesh flips the coin. Chris does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Markus flips the coin. Vanessa does not flip the coin. Stefania does not flip the coin. Yoko flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Thierry does not flip the coin. Eva does not flip the coin. Petra flips the coin. Indah flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Louise does not flip the coin. Heather flips the coin. Florian flips the coin. Camila does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Rahul flips the coin. Caroline does not flip the coin. Mukesh flips the coin. Ashley flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Jun flips the coin. Lucy flips the coin. Daniel does not flip the coin. Rosa flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Brigitte flips the coin. Tanja does not flip the coin. Alexandre flips the coin. Kaori does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Sherry does not flip the coin. Zhou flips the coin. Raquel does not flip the coin. Ann does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Felipe does not flip the coin. Paulo flips the coin. Michelle flips the coin. Hiroki flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Carlos does not flip the coin. Budi flips the coin. Wei flips the coin. Dian does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Martha flips the coin. Monique does not flip the coin. Rahul does not flip the coin. Rani does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
