index	question	cot_response	pred_answer	true_answer	correct
0	"Insects are arthropods. Animals are not unicellular. Each invertebrate is an animal. Arthropods are not bony. Whales are bony. Insects are not eight-legged. Butterflies are lepidopterans. Lepidopterans are insects. Arthropods are invertebrates. Fae is a lepidopteran.
True or false: Fae is not bony."	True. Fae is a lepidopteran, which is an insect, and insects are not bony.	true	true	1
1	"Animals are not unicellular. Butterflies are lepidopterans. Each arthropod is an invertebrate. Each arthropod is not bony. Each insect is an arthropod. Insects are six-legged. Whales are bony. Invertebrates are animals. Every lepidopteran is an insect. Polly is a butterfly.
True or false: Polly is bony."	False. Polly is a butterfly, which is an insect. Insects are not bony.	false	false	1
2	"Each arthropod is not bony. Each arthropod is a protostome. Each protostome is an invertebrate. Invertebrates are animals. Each painted lady is a butterfly. Every insect is not eight-legged. Each animal is not unicellular. Every butterfly is a lepidopteran. Insects are arthropods. Lepidopterans are insects. Each whale is bony. Sally is a painted lady.
True or false: Sally is bony."	False. Sally is a painted lady, which is a butterfly, and butterflies are not bony.	false	false	1
3	"Each invertebrate is an animal. Each arthropod is a protostome. Animals are not unicellular. Every insect is not eight-legged. Each protostome is an invertebrate. Whales are bony. Each lepidopteran is an insect. Butterflies are lepidopterans. Arthropods are not bony. Every painted lady is a butterfly. Every insect is an arthropod. Rex is a painted lady.
True or false: Rex is bony."	False.	false	false	1
4	"Butterflies are lepidopterans. Every lepidopteran is an insect. Every invertebrate is an animal. Nematodes are not segmented. Each arthropod is an invertebrate. Animals are multicellular. Every arthropod is segmented. Insects are arthropods. Insects are six-legged. Fae is a butterfly.
True or false: Fae is segmented."	False. Fae is a butterfly, which is an insect. Insects are arthropods, and arthropods are segmented. Therefore, Fae is segmented.	true	true	1
5	"Mammals are vertebrates. Cats are felines. Each vertebrate is a chordate. Tabbies are cats. Bilaterians are animals. Each chordate is a bilaterian. Carnivores are carnivorous. Carnivores are mammals. Each animal is multicellular. Snakes are not furry. Felines are carnivores. Each mammal is furry. Fae is a tabby.
True or false: Fae is furry."	True. Fae is a tabby, which is a type of cat, and cats are mammals, which are furry.	true	true	1
6	"Cats are felines. Mammals are vertebrates. Every carnivore is a mammal. Animals are multicellular. Every mammal is warm-blooded. Felines are carnivores. Every vertebrate is an animal. Each carnivore is not herbivorous. Snakes are not warm-blooded. Rex is a feline.
True or false: Rex is warm-blooded."	True.	true	true	1
7	"Vertebrates are chordates. Chordates are bilaterians. Every carnivore is a mammal. Mammals are furry. Every carnivore is not herbivorous. Animals are not unicellular. Cats are felines. Each bilaterian is an animal. Mammals are vertebrates. Felines are carnivores. Snakes are not furry. Max is a cat.
True or false: Max is furry."	True.	true	true	1
8	"Animals are multicellular. Arthropods are small. Spiders are eight-legged. Each insect is an arthropod. Invertebrates are animals. Every lepidopteran is an insect. Each arthropod is an invertebrate. Each butterfly is a lepidopteran. Insects are not eight-legged. Sally is a butterfly.
True or false: Sally is not eight-legged."	True. Sally is a butterfly, and butterflies are insects, which are not eight-legged.	true	true	1
9	"Each cat is a feline. Each carnivore is a mammal. Chordates are bilaterians. Every mammal is warm-blooded. Animals are multicellular. Each feline is a carnivore. Every bilaterian is an animal. Vertebrates are chordates. Every mammal is a vertebrate. Carnivores are not herbivorous. Snakes are not warm-blooded. Rex is a cat.
True or false: Rex is not warm-blooded."	False. Rex is a cat, and it was stated that every mammal is warm-blooded. Therefore, Rex is warm-blooded.	false	false	1
