Task,Model,Prompt type,Prompt,System message type,Prompt system message,Answer system message,Number of examples,Number of correct,Accuracy,Cost_Prompt_Total,Cost_Prompt_Per token,Cost_Completion_Total,Cost_Completion_Per token,Cost_Total_Total,Cost_Total_Per token,Cost_Currency
coinflip/eight,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,351.0,0.702,0.38036400000000004,0.0007607280000000001,0.227172,0.000454344,0.6075360000000001,0.0012150720000000002,USD
coinflip/eight,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,340.0,0.68,0.39844650000000004,0.0007968930000000001,0.247272,0.000494544,0.6457185000000001,0.001291437,USD
coinflip/eight,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,467.0,0.934,0.353784,0.000707568,0.17673599999999998,0.00035347199999999997,0.53052,0.00106104,USD
coinflip/eight,gpt-3.5-turbo,CoT,Let's think about this step by step.,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,477.0,0.954,0.3237465,0.000647493,0.172732,0.00034546399999999997,0.4964785,0.000992957,USD
coinflip/eight,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,486.0,0.972,0.32867100000000005,0.0006573420000000001,0.17527,0.00035054000000000004,0.5039410000000001,0.001007882,USD
coinflip/eight,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,472.0,0.944,0.3203055,0.000640611,0.15309599999999998,0.00030619199999999994,0.47340150000000003,0.0009468030000000001,USD
coinflip/eight,gpt-3.5-turbo,None,,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,239.0,0.478,0.20629200000000003,0.0004125840000000001,0.025172,5.0344e-05,0.23146400000000003,0.00046292800000000004,USD
coinflip/eight,gpt-3.5-turbo,None,,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,241.0,0.482,0.211395,0.00042279,0.027946,5.5892e-05,0.239341,0.000478682,USD
coinflip/eight,gpt-3.5-turbo,None,,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,273.0,0.546,0.239634,0.00047926800000000003,0.054669999999999996,0.00010934,0.294304,0.000588608,USD
coinflip/four,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,393.0,0.786,0.315867,0.000631734,0.193778,0.000387556,0.509645,0.00101929,USD
